vessel,stationid,stratum,latitude,longitude,priority
OEX,205-103,130,56.66253,-153.066,HIGH
1,206-139,35,58.30686,-152.9833,HIGH
1,207-170,32,59.7775,-152.9007,HIGH
1,207-141,35,58.3955,-152.9007,HIGH
1,208-160,32,59.29462,-152.818,HIGH
1,208-111,130,57.02062,-152.818,HIGH
1,208-149,132,58.77122,-152.818,HIGH
OEX,208-95,134,56.30792,-152.818,LOW
OEX,208-96,134,56.34248,-152.8165,HIGH
1,209-111,130,57.02062,-152.7353,HIGH
1,209-147,132,58.6769,-152.7353,HIGH
OEX,209-116,30,57.24622,-152.7353,MEDIUM
1,211-168,32,59.68035,-152.5703,HIGH
1,211-115,130,57.18813,-152.567,HIGH
1,212-109,130,56.9308,-152.4878,HIGH
OEX,213-99,231,56.4962,-152.405,HIGH
OEX,213-97,430,56.38998,-152.405,HIGH
1,214-128,30,57.80318,-152.3223,HIGH
1,214-111,31,57.02062,-152.3223,HIGH
OEX,214-125,30,57.65573,-152.3223,HIGH
OEX,214-129,30,57.83925,-152.3223,HIGH
OEX,214-109,31,56.9308,-152.3223,MEDIUM
OEX,215-136,30,58.1627,-152.2398,MEDIUM
1,216-172,32,59.8749,-152.157,HIGH
1,217-111,31,57.02062,-152.0742,HIGH
1,217-165,32,59.5352,-152.0742,HIGH
OEX,217-131,130,57.9314,-152.0742,HIGH
OEX,217-132,130,57.97752,-152.0742,HIGH
OEX,217-127,130,57.73731,-152.0736,HIGH
1,218-117,31,57.2915,-151.9918,HIGH
1,218-130,130,57.8853,-151.9918,HIGH
1,218-156,132,59.09537,-151.9918,HIGH
OEX,218-108,31,56.88593,-151.9918,HIGH
OEX,219-122,31,57.52677,-151.9268,HIGH
1,219-136,30,58.1627,-151.909,HIGH
1,219-112,31,57.06562,-151.909,HIGH
1,219-116,31,57.24622,-151.909,HIGH
1,219-123,130,57.56433,-151.909,HIGH
OEX,219-135,30,58.11633,-151.909,HIGH
OEX,219-111,31,57.02062,-151.909,HIGH
OEX,219-103,134,56.66253,-151.909,HIGH
OEX,220-102,231,56.618,-151.8346,HIGH
1,220-156,33,59.1034,-151.8262,HIGH
1,220-146,132,58.62983,-151.8262,HIGH
1,220-152,132,58.9132,-151.8262,HIGH
1,221-106,134,56.7964,-151.7468,HIGH
1,221-132,31,57.9634,-151.7438,HIGH
1,221-155,33,59.06337,-151.7438,HIGH
1,223-136,30,58.1774,-151.5898,HIGH
1,223-135,130,58.11633,-151.5783,HIGH
1,223-142,132,58.44222,-151.5783,HIGH
1,223-150,132,58.8185,-151.5783,HIGH
OEX,223-112,134,57.06562,-151.5783,HIGH
OEX,224-131,31,57.9314,-151.4958,HIGH
OEX,224-114,134,57.15582,-151.4958,HIGH
OEX,225-115,134,57.201,-151.4132,HIGH
